"Date","Currency","EXCHANGE RATE"
"31/12/2024","US DOLLAR","129.2927"
"30/12/2024","US DOLLAR","129.2984"
"27/12/2024","US DOLLAR","129.2909"
"24/12/2024","US DOLLAR","129.2988"
"23/12/2024","US DOLLAR","129.2978"
"20/12/2024","US DOLLAR","129.2948"
"19/12/2024","US DOLLAR","129.2935"
"18/12/2024","US DOLLAR","129.2906"
"17/12/2024","US DOLLAR","129.2761"
"16/12/2024","US DOLLAR","129.2922"
"13/12/2024","US DOLLAR","129.2997"
"11/12/2024","US DOLLAR","129.3144"
"10/12/2024","US DOLLAR","129.3100"
"09/12/2024","US DOLLAR","129.2984"
"06/12/2024","US DOLLAR","129.3005"
"05/12/2024","US DOLLAR","129.3301"
"04/12/2024","US DOLLAR","129.5931"
"03/12/2024","US DOLLAR","129.7727"
"02/12/2024","US DOLLAR","129.7568"
"29/11/2024","US DOLLAR","129.6754"
"28/11/2024","US DOLLAR","129.6421"
"27/11/2024","US DOLLAR","129.6126"
"26/11/2024","US DOLLAR","129.5736"
"25/11/2024","US DOLLAR","129.5559"
"22/11/2024","US DOLLAR","129.5794"
"21/11/2024","US DOLLAR","129.5219"
"20/11/2024","US DOLLAR","129.4946"
"19/11/2024","US DOLLAR","129.5060"
"18/11/2024","US DOLLAR","129.4311"
"15/11/2024","US DOLLAR","129.3454"
"14/11/2024","US DOLLAR","129.3507"
"13/11/2024","US DOLLAR","129.2549"
"12/11/2024","US DOLLAR","129.2137"
"11/11/2024","US DOLLAR","129.2255"
"08/11/2024","US DOLLAR","129.2057"
"07/11/2024","US DOLLAR","129.1989"
"06/11/2024","US DOLLAR","129.1978"
"05/11/2024","US DOLLAR","129.1994"
"04/11/2024","US DOLLAR","129.1886"
"31/10/2024","US DOLLAR","129.1999"
"30/10/2024","US DOLLAR","129.1985"
"29/10/2024","US DOLLAR","129.2007"
"28/10/2024","US DOLLAR","129.1964"
"25/10/2024","US DOLLAR","129.1966"
"24/10/2024","US DOLLAR","129.1985"
"23/10/2024","US DOLLAR","129.1784"
"22/10/2024","US DOLLAR","129.2084"
"18/10/2024","US DOLLAR","129.2066"
"17/10/2024","US DOLLAR","129.1984"
"16/10/2024","US DOLLAR","129.1987"
"15/10/2024","US DOLLAR","129.1965"
"14/10/2024","US DOLLAR","129.1955"
"11/10/2024","US DOLLAR","129.1973"
"09/10/2024","US DOLLAR","129.1944"
"08/10/2024","US DOLLAR","129.1955"
"07/10/2024","US DOLLAR","129.1947"
"04/10/2024","US DOLLAR","129.1798"
"03/10/2024","US DOLLAR","129.1928"
"02/10/2024","US DOLLAR","129.1988"
"01/10/2024","US DOLLAR","129.1879"
"30/09/2024","US DOLLAR","129.1957"
"27/09/2024","US DOLLAR","129.1971"
"26/09/2024","US DOLLAR","129.1942"
"25/09/2024","US DOLLAR","129.1863"
"24/09/2024","US DOLLAR","129.1840"
"23/09/2024","US DOLLAR","129.1962"
"20/09/2024","US DOLLAR","129.1810"
"19/09/2024","US DOLLAR","129.2045"
"18/09/2024","US DOLLAR","129.2928"
"17/09/2024","US DOLLAR","129.3000"
"16/09/2024","US DOLLAR","129.2738"
"13/09/2024","US DOLLAR","129.1989"
"12/09/2024","US DOLLAR","129.1781"
"11/09/2024","US DOLLAR","129.1860"
"10/09/2024","US DOLLAR","129.1923"
"09/09/2024","US DOLLAR","129.1970"
"06/09/2024","US DOLLAR","129.1907"
"05/09/2024","US DOLLAR","129.1862"
"04/09/2024","US DOLLAR","129.1876"
"03/09/2024","US DOLLAR","129.1787"
"02/09/2024","US DOLLAR","129.1921"
"30/08/2024","US DOLLAR","129.1747"
"29/08/2024","US DOLLAR","129.0409"
"28/08/2024","US DOLLAR","129.1614"
"27/08/2024","US DOLLAR","129.1714"
"26/08/2024","US DOLLAR","129.1846"
"23/08/2024","US DOLLAR","129.0532"
"22/08/2024","US DOLLAR","129.0800"
"21/08/2024","US DOLLAR","128.9765"
"20/08/2024","US DOLLAR","129.0916"
"19/08/2024","US DOLLAR","129.0649"
"16/08/2024","US DOLLAR","129.1443"
"15/08/2024","US DOLLAR","129.2033"
"14/08/2024","US DOLLAR","129.0600"
"13/08/2024","US DOLLAR","129.3451"
"12/08/2024","US DOLLAR","129.5436"
"09/08/2024","US DOLLAR","129.2536"
"08/08/2024","US DOLLAR","129.4100"
"07/08/2024","US DOLLAR","129.7907"
"06/08/2024","US DOLLAR","130.1085"
"05/08/2024","US DOLLAR","130.1570"
"02/08/2024","US DOLLAR","129.9461"
"01/08/2024","US DOLLAR","129.1510"
"31/07/2024","US DOLLAR","129.9225"
"30/07/2024","US DOLLAR","130.6756"
"29/07/2024","US DOLLAR","131.5746"
"26/07/2024","US DOLLAR","132.5695"
"25/07/2024","US DOLLAR","132.2195"
"24/07/2024","US DOLLAR","131.0515"
"23/07/2024","US DOLLAR","130.8862"
"22/07/2024","US DOLLAR","130.7299"
"19/07/2024","US DOLLAR","130.4669"
"18/07/2024","US DOLLAR","129.9895"
"17/07/2024","US DOLLAR","129.5854"
"16/07/2024","US DOLLAR","129.6316"
"15/07/2024","US DOLLAR","129.5579"
"12/07/2024","US DOLLAR","129.2570"
"11/07/2024","US DOLLAR","128.9824"
"10/07/2024","US DOLLAR","128.6068"
"09/07/2024","US DOLLAR","128.5290"
"08/07/2024","US DOLLAR","128.5046"
"05/07/2024","US DOLLAR","128.4678"
"04/07/2024","US DOLLAR","128.7077"
"03/07/2024","US DOLLAR","128.7004"
"02/07/2024","US DOLLAR","128.8970"
"01/07/2024","US DOLLAR","129.5228"
"28/06/2024","US DOLLAR","129.5270"
"27/06/2024","US DOLLAR","129.1497"
"26/06/2024","US DOLLAR","128.7633"
"25/06/2024","US DOLLAR","128.6990"
"24/06/2024","US DOLLAR","128.6365"
"21/06/2024","US DOLLAR","128.5537"
"20/06/2024","US DOLLAR","128.6524"
"19/06/2024","US DOLLAR","128.7840"
"18/06/2024","US DOLLAR","128.7755"
"14/06/2024","US DOLLAR","128.6587"
"13/06/2024","US DOLLAR","128.4630"
